,제목,장르,작가,연재 시작일,마지막 연재일,연재수,댓글수,추천수,평점,Site
732,금선비록,무협,권신,2023-07-17,2024-06-26,1044,297,9,8.6,NaverSeries
733,재벌집 히든 손자,현판,부팅,2024-02-20,2024-06-26,145,207,4,7.8,NaverSeries
734,음악 천재로 다시 산다,현판,만설,2024-04-30,2024-06-26,168,99,3,9.2,NaverSeries
735,동창 살수 전기,무협,남운,2024-06-13,2024-06-26,177,18,0,7.9,NaverSeries
736,산하유화 (山河有画),무협,표명,2024-06-10,2024-06-26,110,9,1,9.6,NaverSeries
737,산만디 걸린 달 구름에 파무치가,로맨스,더늠,2024-05-01,2024-06-26,105,44,18,9.3,NaverSeries
738,괴물 황녀는 진실을 원한다,로판,송이담,2024-05-24,2024-06-26,119,32,22,9.3,NaverSeries
739,국정원 요원이 일 제국을 찢음,판타지,뿌링틀,2023-12-21,2024-06-26,335,96,4,8.4,NaverSeries
740,회귀자의 성공 투자법,현판,박성호,2021-09-22,2024-06-26,737,19089,144,8.4,NaverSeries
741,바람과 별무리,판타지,흰콩,2015-03-12,2024-06-26,2797,3089,248,9.9,NaverSeries
742,귀농했는데 아포칼립스 터졌다,판타지,버머랜드,2024-06-14,2024-06-26,120,121,5,8.2,NaverSeries
743,박정의의 조카가 되었다,판타지,사키만자루,2024-04-15,2024-06-26,354,37,1,8.8,NaverSeries
744,이발병이 머리를 너무 잘 자름,현판,에바트리체,2024-04-15,2024-06-26,174,229,1,9.4,NaverSeries
745,천재 짐꾼이 다 처먹음,판타지,YoungU,2024-02-06,2024-06-26,189,189,20,7.5,NaverSeries
746,죽지 못하는 홈런왕,현판,사키만자루,2024-04-15,2024-06-26,230,56,3,8.9,NaverSeries
747,백상의 워렌버핏,현판,남운,2024-06-20,2024-06-26,110,9,0,6.9,NaverSeries
748,제갈무신,무협,무영武映,2024-01-02,2024-06-26,173,54,0,9.0,NaverSeries
749,1988,현판,이원호,2024-03-26,2024-06-26,86,59,3,9.2,NaverSeries
750,미국 피지컬 천재의 이중생활,현판,용린龍鱗,2023-07-10,2024-06-26,194,974,16,8.6,NaverSeries
751,당문전,무협,제이허빈,2023-07-12,2024-06-26,438,14797,92,9.4,NaverSeries
752,아이돌을 데뷔시키는 일을 합니다,현판,에바트리체,2024-01-02,2024-06-26,196,720,101,9.5,NaverSeries
753,회귀황자는 비밀이 많다,판타지,대삼원,2024-03-05,2024-06-26,140,454,5,9.1,NaverSeries
754,환생했더니 대공의 셋째 아들,판타지,BELF,2024-03-27,2024-06-26,163,1243,16,9.1,NaverSeries
755,중세의 얼음마법사로 살아남기,판타지,동쭉,2024-04-03,2024-06-26,147,700,4,8.8,NaverSeries
756,1592 모두가 꿈꾼 제국,판타지,저스티츠,2023-05-19,2024-06-26,404,1572,25,9.5,NaverSeries
757,슬라임 합성으로 만능 농사꾼,현판,짜빈동귀신,2023-12-05,2024-06-26,233,2733,49,9.5,NaverSeries
758,서울 1988,현판,남운,2024-03-13,2024-06-26,234,10,1,6.3,NaverSeries
759,기적의 한의사,현판,햄버그,2024-05-10,2024-06-26,130,152,2,9.5,NaverSeries
760,괴물 사냥 도감,판타지,편곤,2024-04-17,2024-06-26,155,266,5,9.6,NaverSeries
761,협잠기 2부 (조운의 귀환),무협,조운천,2020-06-15,2024-06-26,779,6,3,9.6,NaverSeries
762,어떤 무인의 초전자포,무협,신시우,2023-11-29,2024-06-26,264,226,4,7.9,NaverSeries
763,화학천재의 비밀 투자 공식,현판,율려(律呂),2024-05-05,2024-06-26,160,1424,33,9.5,NaverSeries
764,명의 아닙니다 찾지 마세요,현판,블루마블,2024-05-31,2024-06-26,127,167,3,8.2,NaverSeries
765,제국사냥꾼,현판,퉁구스카,2021-03-24,2024-06-26,744,38457,449,9.6,NaverSeries
766,천마왕 유세현,판타지,KingsRoad,2016-08-03,2024-06-26,640,131,56,7.4,NaverSeries
767,서브 남주가 파업하면 생기는 일,판타지,숙임,2021-01-06,2024-06-26,920,16615,375,9.9,NaverSeries
768,무한회귀의 리메이커,판타지,메르시스타,2024-03-30,2024-06-26,235,37,1,9.7,NaverSeries
769,천재 작가에게 러브콜이 쇄도한다,현판,번민,2024-05-30,2024-06-26,253,14,1,7.5,NaverSeries
770,인성자의 회귀는 다르다,현판,초혼,2024-06-26,2024-06-26,12,0,0,0.0,NaverSeries
771,패륜으로 시작하는 조선생활,판타지,고스름도치,2024-06-26,2024-06-26,8,0,0,0.0,NaverSeries
772,마왕 딸이 밥을 잘한다,판타지,강결,2024-06-26,2024-06-26,8,0,0,0.0,NaverSeries
773,만능 치트키 의사는 환자를 잘 다,현판,탁틴,2024-05-03,2024-06-26,147,11,2,8.2,NaverSeries
774,이혼 후 골프황제,현판,돈돈(豚豚),2023-10-05,2024-06-26,215,311,8,8.0,NaverSeries
775,황금 귀의 프로듀서,현판,무적푸딩,2024-06-18,2024-06-26,118,20,1,9.4,NaverSeries
776,투수가 딸깍함!,현판,엉심킬러,2024-04-03,2024-06-26,168,751,15,8.7,NaverSeries
777,미궁 속 천재공학자,판타지,병장개미,2023-02-17,2024-06-26,497,4385,50,9.9,NaverSeries
778,내 분신이 거물이 되어간다,판타지,실험샘플,2022-10-11,2024-06-26,557,10147,64,9.7,NaverSeries
779,악당에게서 살아남는 법,판타지,강성현,2022-06-15,2024-06-26,421,4679,56,9.4,NaverSeries
780,내 마법만 레벨업,판타지,해무극,2023-10-04,2024-06-26,287,1198,15,9.3,NaverSeries
781,욕망에 눈이 멀 때,로맨스,인근주민이씨,2022-10-26,2024-06-26,85,74,5,8.4,NaverSeries
782,삼국지 : 미완의 군주,판타지,오리형,2021-07-12,2024-06-26,596,129,9,9.4,NaverSeries
783,아포칼립스에서 개미 키웁니다,판타지,금태양S,2024-02-27,2024-06-26,130,225,6,8.6,NaverSeries
784,시공,로판,예쁜거주세요,2024-05-31,2024-06-27,58,0,0,10.0,NaverSeries
785,재벌은 회귀 후 복하다,현판,노래하는시인,2024-05-14,2024-06-26,141,19,2,8.7,NaverSeries
786,"복수에 미친 마법사, 교사가 되다",판타지,잘쓰고싶다,2023-11-21,2024-06-26,238,4,2,8.4,NaverSeries
787,백작가의 망나니가 되었다,판타지,유려한,2018-07-30,2024-06-26,1112,79332,2068,9.8,NaverSeries
788,영웅시대,현판,이원호,2016-06-20,2024-06-26,1463,265,57,8.7,NaverSeries
789,300년 만에 귀환했다,판타지,애모르,2024-02-16,2024-06-26,168,437,3,8.5,NaverSeries
790,고종(171세),판타지,그랜드파파,2023-09-06,2024-06-26,188,183,3,8.3,NaverSeries
791,귀환한 권왕은 옥타곤에서 힐링합니다,현판,지놓,2024-06-07,2024-06-26,115,51,0,7.0,NaverSeries
792,수비 천재가 타격의 신이 됨,현판,리비에르,2024-04-12,2024-06-26,162,90,0,7.7,NaverSeries
793,방치형 싱어송라이터 키우기,현판,천우(天雨),2024-02-07,2024-06-26,189,462,9,8.5,NaverSeries
794,이세계 산업역군 네크로맨서,판타지,벼루입니다,2024-05-10,2024-06-26,129,207,3,9.0,NaverSeries
795,화산귀환,무협,비가,2019-04-25,2024-06-26,1738,1280717,18159,9.2,NaverSeries
796,흥겜의 딜러,현판,행운요정,2024-06-14,2024-06-26,112,259,2,9.6,NaverSeries
797,초대 콧수염 대마왕이 되었다,판타지,리첼렌,2024-05-22,2024-06-26,129,514,4,9.7,NaverSeries
798,에스퍼 남편과 이혼하겠습니다,로판,배수면,2024-06-01,2024-06-26,121,119,11,9.4,NaverSeries
799,내 지적재산권의 보호를 위하여,로판,홍마노,2024-01-20,2024-06-26,170,218,7,9.8,NaverSeries
800,남편을 버리기로 했다,로판,살찐젤리,2024-05-15,2024-06-26,111,150,5,9.4,NaverSeries
801,빌런에게도 사연이 있다 1~3권 BL,로맨스,남지화,2024-06-26,2024-06-26,3,0,0,0.0,NaverSeries
802,빌런에게도 사연이 있다 4권 BL,로맨스,남지화,2024-06-26,2024-06-26,1,0,0,0.0,NaverSeries
803,빌런에게도 사연이 있다 5~9권 BL,로맨스,남지화,2024-06-26,2024-06-26,5,0,0,0.0,NaverSeries
804,빌런에게도 사연이 있다 10~11권 BL,로맨스,남지화,2024-06-26,2024-06-26,2,0,0,0.0,NaverSeries
805,빌런에게도 사연이 있다 12권 BL,로맨스,남지화,2024-06-26,2024-06-26,1,0,0,0.0,NaverSeries
806,목적결혼,로맨스,모카혜진,2024-06-26,2024-06-26,85,4,0,10.0,NaverSeries
807,몰락한 가문의 진법 천재,무협,한시웅,2023-11-28,2024-06-26,202,442,12,9.1,NaverSeries
808,아카데미에서 용사를 가르치는 법,판타지,쇼조,2024-01-09,2024-06-26,169,1063,14,8.9,NaverSeries
809,에덴,로맨스,유어플라닛,2024-03-13,2024-06-26,121,649,9,9.2,NaverSeries
810,이세계로 무한전학,현판,가온길,2023-05-30,2024-06-26,333,610,9,8.4,NaverSeries
811,장보고가 이순신을 만났을 때,판타지,퍼플프린스,2023-12-12,2024-06-26,182,410,5,9.6,NaverSeries
812,짝사랑 종결 프로젝트,로판,라라유,2024-02-23,2024-06-26,162,40,4,9.3,NaverSeries
813,힘을 숨긴 백작영애,로판,에스JIN,2023-12-29,2024-06-26,239,270,27,9.3,NaverSeries
814,비운의 여주는 오늘부로 그만두겠습니다,로판,조신한레모니,2024-01-19,2024-06-26,213,42,10,9.6,NaverSeries
815,당신의 불을 위하여,로판,예슬아,2024-06-05,2024-06-26,88,27,3,9.6,NaverSeries
816,검신도 육아휴직이 필요하다,무협,세담,2023-10-31,2024-06-26,215,1010,22,9.6,NaverSeries
817,마교 교주의 부군이 되었다,무협,쥬레이,2023-09-19,2024-06-26,316,7483,110,9.4,NaverSeries
818,나 혼자만 스펙업하는 황제님,판타지,높은하늘,2024-03-26,2024-06-26,97,141,5,8.0,NaverSeries
819,나는 구원자가 아니다,로판,윤마리,2024-05-24,2024-06-26,121,3,0,7.8,NaverSeries
820,영약으로 천하제일,무협,zorba,2023-03-28,2024-06-26,353,1000,9,8.2,NaverSeries
821,플레이어가 과거를 숨김,판타지,베데스,2022-02-09,2024-06-26,698,29143,460,9.8,NaverSeries
822,파고의 끝에,로맨스,버터컵,2024-06-26,2024-06-26,79,12,5,10.0,NaverSeries
823,다시 환생한 마도사의 두 얼굴,판타지,미소Z움,2023-02-16,2024-06-26,413,1,0,4.4,NaverSeries
824,결혼이 미쳤다,로맨스,유다른,2024-06-26,2024-06-26,76,178,0,10.0,NaverSeries
825,죽일 놈의 사랑,로맨스,진숙,2024-06-26,2024-06-26,77,180,1,9.8,NaverSeries
826,시한부 천재 마법사로 살아남기,판타지,밤만두,2024-01-23,2024-06-26,148,97,3,8.0,NaverSeries
827,루미에르의 어린 황태후,로판,On달,2023-10-20,2024-06-26,213,81,72,9.6,NaverSeries
828,이세계 보육원,판타지,덕킹,2023-10-10,2024-06-26,229,611,18,9.3,NaverSeries
829,빙의하니 MBTI가 보여,판타지,어쩌다이지경,2024-03-05,2024-06-26,126,68,15,7.9,NaverSeries
830,4주 뒤에 뵙겠습니다,로판,피오니,2023-09-23,2024-06-26,261,629,15,8.5,NaverSeries
831,모태솔로 대공의 연애 스승이 되었다,로판,서뉴,2024-06-26,2024-06-26,80,4,0,8.4,NaverSeries
832,너의 불이라도 되겠다,로판,적목베,2024-06-26,2024-06-26,80,0,0,9.1,NaverSeries
833,극야,로맨스,서유경,2024-06-26,2024-06-26,63,0,0,9.6,NaverSeries
834,새엄마는 나쁘지 않아요 외전,로판,아리스테아,2024-06-26,2024-06-26,1,0,0,0.0,NaverSeries
835,스토커,로맨스,팜포라,2024-06-26,2024-06-26,137,0,0,0.0,NaverSeries
836,이별이 그치면,로맨스,오도은,2024-06-26,2024-06-26,1,0,0,8.0,NaverSeries
837,세븐 데이즈(Seven Days),로판,서진효,2024-06-26,2024-06-26,1,0,0,0.0,NaverSeries
838,런던 탐정은 샷건을 든다,판타지,922,2023-06-06,2024-06-26,371,495,16,9.7,NaverSeries
839,스승의 은혜,로맨스,마뇽,2024-06-26,2024-06-26,60,6,2,10.0,NaverSeries
840,밀착의 농도,로맨스,아뜨,2024-06-26,2024-06-26,70,47,1,9.2,NaverSeries
841,콜드 스펠,로맨스,후라이팬요정,2024-06-26,2024-06-26,69,4,1,9.3,NaverSeries
842,아공간 교도소로 무한성장!,현판,하디스a,2024-01-02,2024-06-26,183,68,16,8.7,NaverSeries
843,돌아온 이유가 있었다,로판,사자모,2024-06-26,2024-06-26,80,14,2,9.1,NaverSeries
844,오늘도 훔치러 갑니다,판타지,트레샤,2024-06-26,2024-06-26,818,0,0,6.0,NaverSeries
845,남편 도둑,로판,알파타르트,2024-04-04,2024-06-26,160,4961,82,8.5,NaverSeries
846,달빛숙박,로맨스,글쓰는 귀신,2024-06-26,2024-06-26,84,11,1,9.6,NaverSeries
847,웨딩드레스를 찢는 남자,로맨스,한봄이,2024-06-26,2024-06-26,60,0,0,9.7,NaverSeries
848,위 공공,무협,매검향,2024-06-26,2024-06-26,6,0,0,10.0,NaverSeries
849,오빠 친구와 밤마다,로맨스,박연필,2024-06-26,2024-06-26,60,157,0,9.8,NaverSeries
850,가짜 악녀인데 대공이 집착한다,로판,나로성,2024-06-26,2024-06-26,80,37,18,9.7,NaverSeries
851,거지 공주 납시오,로맨스,호박꽃향기,2024-06-26,2024-06-26,2,0,0,0.0,NaverSeries
852,낭인무사의 비밀병기,무협,손승휘,2024-02-20,2024-06-26,140,130,9,7.9,NaverSeries
853,사제(師弟),무협,정희웅,2024-02-13,2024-06-26,112,89,0,8.9,NaverSeries
854,재벌집 망나니는 천재 배우,현판,박굘,2023-11-14,2024-06-26,184,577,9,8.9,NaverSeries
855,북부 대공 막내아들은 파혼하기로 했다,판타지,루인메이커,2024-01-30,2024-06-26,195,363,4,8.6,NaverSeries
856,가족은 없어도 됩니다,로판,서미블,2024-06-01,2024-06-26,74,129,4,9.0,NaverSeries
857,황태자의 소꿉친구로 살아남기,로판,비첼,2024-03-19,2024-06-26,155,549,8,9.3,NaverSeries
858,일타강사 백사부,무협,간짜장,2020-10-21,2024-06-26,739,72566,1206,9.8,NaverSeries
859,게임 속 남주의 시녀가 되었다,로판,은연연,2024-06-26,2024-06-26,4,0,0,0.0,NaverSeries
860,마왕님은 투잡 중,현판,징구빙구,2023-12-12,2024-06-26,180,27,1,8.1,NaverSeries
861,공주는 짐승의 손에,로맨스,글가애,2023-12-06,2024-06-26,139,0,1,10.0,NaverSeries
862,겨우 강해졌는데 회귀해버림,현판,수국칼,2024-05-09,2024-06-25,136,790,5,8.6,NaverSeries
863,대한제국의 총통이 되기로 했다,판타지,침략자,2023-10-24,2024-06-25,171,81,2,8.5,NaverSeries
864,그 용사님을 믿지 마세요,로판,스카이야,2024-03-16,2024-06-25,120,190,4,9.7,NaverSeries
865,라 비 앙 로즈(La vie en Rose),로판,라팡,2023-03-22,2024-06-25,203,96,10,9.0,NaverSeries
866,회귀자 사용설명서,판타지,흙수저,2018-03-08,2024-06-25,1834,22396,354,9.3,NaverSeries
867,잠룡회귀,무협,육개장.,2024-03-04,2024-06-25,178,463,3,9.5,NaverSeries
868,그라운드의 외계인,현판,양복선,2024-02-26,2024-06-25,158,350,3,8.5,NaverSeries
869,방출된 연습생이 월클 작곡가였다,현판,페르세르크,2024-05-29,2024-06-25,151,164,0,8.8,NaverSeries
870,탑스타 버리고 회귀합니다,현판,소래담,2024-04-22,2024-06-25,160,209,9,8.6,NaverSeries
871,전생킬러인데 모범시민,현판,장성필,2023-11-15,2024-06-25,215,1302,22,9.4,NaverSeries
872,내가 키운 S급들,판타지,근서,2018-11-23,2024-06-25,1035,111351,2849,9.8,NaverSeries
873,남주가 여주 말고 나하고 결혼하재요,로판,린아(潾娥),2024-06-08,2024-06-25,82,199,1,9.4,NaverSeries
874,강화했더니 다 붙었다,판타지,열뚜시,2024-03-15,2024-06-25,183,156,5,7.6,NaverSeries
875,달동네 천재 작가,현판,웨이트,2023-10-25,2024-06-25,304,3178,65,9.8,NaverSeries
876,낭만재벌 김민식,현판,오정,2024-05-01,2024-06-25,139,402,18,8.6,NaverSeries
877,"조선, 혁명의 시대",판타지,태사령,2019-10-02,2024-06-25,879,15207,81,9.4,NaverSeries
878,조선왕자가 미국갔다 안 돌아옴,판타지,누텔라,2022-09-27,2024-06-25,548,6700,31,9.5,NaverSeries
879,이세계 편돌이,판타지,슬픈방울뱀,2022-09-21,2024-06-25,395,6671,51,9.5,NaverSeries
880,이 아이돌은 주목받고 싶지 않습니다,현판,운론,2023-03-07,2024-06-25,225,1866,39,9.4,NaverSeries
881,컵라면 먹다가 게임 속으로 들어간 썰 푼다,판타지,임현종,2023-03-14,2024-06-25,362,251,37,9.5,NaverSeries
882,내 눈에만 승리가 보임,현판,초매실,2023-11-22,2024-06-25,194,24,2,9.1,NaverSeries
883,좌천된 재벌 3세는 역대급 축구 장,현판,끄적이다,2024-03-15,2024-06-25,204,141,2,9.7,NaverSeries
884,성좌들이 내 시청자,판타지,미제,2023-08-15,2024-06-25,157,370,11,8.5,NaverSeries
885,고아인데 마법천재,판타지,찬동,2024-03-06,2024-06-25,168,829,8,8.7,NaverSeries
886,서포터가 다 해먹음,판타지,주급루팡,2022-06-01,2024-06-25,574,17344,86,9.7,NaverSeries
887,썸타는 천재 사냥개,판타지,이야기상인,2023-11-28,2024-06-25,130,212,9,9.5,NaverSeries
888,재앙급 귀환자의 현대 생활,판타지,펜리힐드,2024-02-01,2024-06-25,228,187,2,8.7,NaverSeries
889,공포 게임의 엑스트라가 되었다,로판,흰땃,2024-01-29,2024-06-25,170,1268,15,9.7,NaverSeries
890,방구석 생체 군 SSS급 헌터,판타지,이끼용,2024-05-10,2024-06-25,138,213,4,8.0,NaverSeries
891,어느 날 해츨링이 되었다,판타지,햄스끼,2022-05-11,2024-06-25,534,3809,59,9.4,NaverSeries
892,패션 천재가 스타를 수집함,현판,오늘도요,2024-04-26,2024-06-25,133,223,3,9.5,NaverSeries
893,다 조종하는 천재 네크로맨서,판타지,페퍼라이크,2024-01-16,2024-06-25,157,59,23,8.5,NaverSeries
894,사천귀검록,무협,취호,2023-08-15,2024-06-25,203,1885,55,9.6,NaverSeries
895,무림멸망전,무협,자우,2023-07-18,2024-06-25,272,260,4,8.2,NaverSeries
896,내 원룸에 던전이 생겼다,판타지,0질신인,2023-12-12,2024-06-25,169,269,1,8.1,NaverSeries
897,2회차는 흑막으로,판타지,글밈,2024-02-27,2024-06-25,145,451,6,9.0,NaverSeries
898,망나니 악녀는 남주를 버린다,로판,여백,2024-03-25,2024-06-25,124,355,9,9.0,NaverSeries
899,나랑 한 번만 해,로판,리르,2024-04-26,2024-06-25,134,24,3,8.1,NaverSeries
900,흑막을 짝사랑하는 약혼자가 되었습니다,로판,현이경,2024-05-04,2024-06-25,114,208,5,8.5,NaverSeries
901,아카데미를 털어라,판타지,스피치,2024-02-13,2024-06-25,142,504,5,9.1,NaverSeries
902,복축구로 힐링합니다,현판,벤조K,2024-05-09,2024-06-25,175,41,4,9.3,NaverSeries
903,회귀했더니 아들이 생겼습니다,로판,망고앤치즈,2023-10-13,2024-06-25,217,320,14,9.2,NaverSeries
904,맹인 성녀인데 눈이 보인다,로판,유은우,2024-03-04,2024-06-25,163,1839,37,9.6,NaverSeries
905,세계 최강 약혼자와 파혼하겠습니다,로판,아이럽설,2024-03-16,2024-06-25,105,528,35,8.3,NaverSeries
906,나노공학 선협전,무협,황정검,2023-11-07,2024-06-25,259,636,19,9.2,NaverSeries
907,던전이 로판 세계면 하렘이 형성됩니다,로판,이프노즈,2024-03-27,2024-06-25,133,158,2,9.4,NaverSeries
908,천만년만에 귀환한 무신님,판타지,맛깔란,2024-06-05,2024-06-25,140,256,4,8.5,NaverSeries
909,불사자에게는 수호령이 있었다,판타지,덴피,2023-08-15,2024-06-25,234,6190,182,9.5,NaverSeries
910,내 안에 마교있다,무협,초[류희윤],2019-09-20,2024-06-25,458,1970,51,8.4,NaverSeries
911,나 혼자 마교,무협,이곤,2023-10-17,2024-06-25,184,420,13,9.0,NaverSeries
912,나 혼자 탑에서 농사,현판,sdcknight,2022-09-10,2024-06-25,737,29199,681,9.8,NaverSeries
913,전지적 의사 시,현판,장원박,2022-11-09,2024-06-25,344,1310,39,9.4,NaverSeries
914,"재벌집 막내, 천재가 되었다",현판,금강산경,2021-02-03,2024-06-25,309,97,4,5.6,NaverSeries
915,내 회귀에 빌런은 없다,현판,1인5역,2024-05-28,2024-06-25,202,60,3,9.0,NaverSeries
916,전능의 팔찌,현판,김현석,2016-08-26,2024-06-25,2158,511,24,7.9,NaverSeries
917,화무홍 : 빛깔 없는 꽃,무협,환상난운,2023-06-27,2024-06-25,314,398,14,9.7,NaverSeries
918,내 안에 AI가 들어왔다,현판,장경의 꿈,2024-05-10,2024-06-25,138,100,2,6.5,NaverSeries
919,글러먹은 빙의,판타지,목마,2023-07-05,2024-06-25,352,6618,38,9.0,NaverSeries
